# bug-report Figma node-id -> catalog frame that covers it
# reason: child     = referenced node is a descendant of the catalog frame
#         page      = report linked a whole Figma page, not a frame
#         gone      = node-id no longer resolves in the Figma file
#         copy-file = report linked a DUPLICATE Figma file; node-ids are
#                     preserved by a Figma file copy, so the same id in the
#                     primary Skai-Web-App file is the covering frame
# a refNode may carry a "<fileKey>:" prefix when it is not the primary file
# refNode	catalogNode	reason	refs	openRefs	sampleReportId8
9902-114817	9896-104373	child	1	1	1c83eb2f
9902-114827	9896-104373	child	5	5	927bae7f
9902-115168	9893-94731	child	7	7	1e2b5afd
9902-115174	9893-94731	child	2	2	13cfd759
9902-115214	9893-94731	child	2	2	5d108a76
9902-115252	9893-94731	child	1	1	018d9577
9917-112500	9917-112346	child	1	1	f96ee7a2
9917-88518	9917-88517	child	1	1	6ff1f22b
9917-91067	9917-91066	child	1	1	7295181f
9917-95043	9917-95042	child	1	1	86b802c6
9917-97794	9917-97793	child	1	1	ce37cfbc
9917-98894	9917-98893	child	1	1	49f5eec9
2005-20650	2005-19956	child	1	0	8658d6a4
3436-53580	3436-53422	child	8	0	0ab2ce70
3436-53992	3436-53761	child	1	0	e792c31c
3436-56609	3436-55561	child	3	0	3160f2ea
9069-261059	9069-259546	child	1	1	cda043d5
9069-263066	9069-261150	child	1	1	c57fbf8c
9081-278486	9081-275608	child	1	1	507ba818
9081-278910	9081-278869	child	2	2	61204cc2
9081-278923	9081-278869	child	1	1	122805fe
9081-278926	9081-278869	child	2	2	0b3eaafb
9081-278954	9081-278869	child	2	2	2be2e17e
9081-279406	9081-279304	child	1	1	2a19ee4b
9094-280463	9094-280250	child	1	1	166ee7e9
9094-281154	9094-281524	child	1	1	d9df481e
9094-281155	9094-281524	child	1	1	175ed015
9094-281234	9094-281524	child	1	1	c8c27f1e
9094-281834	9094-281783	child	1	1	dc99e223
9101-284844	9100-284083	child	2	2	86b6ffd8
9346-96984	9346-96983	child	2	2	c5d9d3be
9346-96993	9346-96983	child	1	1	3f61df92
9346-96994	9346-96983	child	1	1	5a881302
9346-96997	9346-96983	child	1	1	4f5d1699
9346-97020	9346-96983	child	1	1	a08c8441
9346-97041	9346-96983	child	1	1	d3cecdd8
2003-674	2003-674	page	1	0	7418fa71
2998-19593	2998-19593	page	1	0	ab28f521
7717-10907	-	gone	1	0	fcd443cc
9042-164815	-	gone	1	0	535eea9b
CuCgVP8PSgDNTcbt8mNJLd:2720-8186	2720-7877	copy-file	1	0	29887c90
9695-96406	-	gone	0	0	-
9770-134779	9770-133659	child	0	0	-
# 2026-07-28: 8 wallet multi-menu frames deleted upstream after they were cataloged.
# Found by the page-coverage report: Wallet carried 369 rows against 361 live nodes, and
# a NEGATIVE delta can only mean rows pointing at nodes that are not on the page. All 8
# were confirmed non-resolving via getNodeByIdAsync. They keep status=done because they
# WERE built; recording them gone stops the delta reading as an unexplained anomaly.
9545-97477	-	gone	0	0	-
9545-97933	-	gone	0	0	-
9685-98528	-	gone	0	0	-
9685-98877	-	gone	0	0	-
9685-99496	-	gone	0	0	-
9685-100027	-	gone	0	0	-
9685-100712	-	gone	0	0	-
9685-101103	-	gone	0	0	-
# 2026-08-05: 3 Trade frames re-created upstream, so the old node-ids no longer resolve.
# Found by the live re-harvest of the ✅ Trade page: 6 top-level children were missing from
# the catalog while 3 catalogued rows were absent from the page. Three of the six carry the
# SAME frame names as the three missing rows (Frame 267 / 1356 / 1357), i.e. David deleted
# and re-drew them and Figma minted new ids. All 3 confirmed non-resolving via
# getNodeByIdAsync. Replacements are catalogued as 10706-128843 / 10706-128950 /
# 10706-129546; the other three (10706-127734/128107/128199 = Frame 1372/1373/1374) are new.
9856-80726	-	gone	0	0	-
9856-82102	-	gone	0	0	-
9858-84603	-	gone	0	0	-
3358-34469	3358-34467	child	1	1	8df68af2
3358-34470	3358-34467	child	1	1	9f4a2c9a

# ---------------------------------------------------------------------------
# APPENDED 2026-08-13 - layer-D sweep of every OPEN Figma-linked bug report.
# 275 deep child nodes resolved to their owning screen, 57 confirmed deleted upstream.
# Full detail (type, name, depth, page, section, owning-screen title) is in
# bug-node-index.tsv; these rows exist so audit-figma-txt.mjs and build-registry.mjs
# stop re-flagging them as coverage gaps.
# refNode carries a "<fileKey>:" prefix when the node resolves outside the PRIMARY file
# (3sSzw1KewMtUbeLAv7uW0r). NOTE: for many of these the bug link named the OLD file and the
# node actually lives in mhF3BkzlTaGiLzJ7kvpmVc - the prefix here is the file it RESOLVES in.
# sampleReportId8 is deliberately blank: these rows were derived from an aggregate query,
# not a per-report join. Do not read the blank as "no reports" - openRefs is the count.
# ---------------------------------------------------------------------------
M6r9FEn042UWTQD1zvy6GM:9003-94184	9003-94116	child	11	11	
mhF3BkzlTaGiLzJ7kvpmVc:13006-134371	13006-134301	child	6	6	
mhF3BkzlTaGiLzJ7kvpmVc:13006-146274	13006-146233	child	5	5	
M6r9FEn042UWTQD1zvy6GM:9142-19554	9003-94116	child	4	4	
mhF3BkzlTaGiLzJ7kvpmVc:13008-113503	13008-113481	child	3	3	
9112-12984	4711-28434	child	3	3	
3550-4729	3550-4727	child	3	3	
3154-5004		gone	2	2	
3154-5283		gone	2	2	
4446-118388		gone	2	2	
7816-39113		gone	2	2	
8493-31691		gone	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4510	2713-4425	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:2735-25302	2735-25298	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:5778-33823	5778-29088	child	2	2	
3538-22737	3538-22735	child	2	2	
3546-25570	3546-25568	child	2	2	
8583-127821	8583-127820	child	2	2	
8583-128098	8583-127820	child	2	2	
8909-136859	3538-22735	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:3928-65734	3903-21478	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:3928-76140	3903-24462	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:13006-135564	13006-134301	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:13006-146236	13006-146233	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:13006-158489	13006-155671	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:13006-165048	13006-162230	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:13006-219554	13006-217349	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:7482-144845	7482-144645	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:7491-148664	7491-148345	child	2	2	
mhF3BkzlTaGiLzJ7kvpmVc:13008-36597	13008-36562	child	2	2	
3154-4650		gone	1	1	
3154-4920		gone	1	1	
3154-4968		gone	1	1	
3154-5282		gone	1	1	
3154-5308		gone	1	1	
3154-5577		gone	1	1	
3154-5581		gone	1	1	
3161-19177		gone	1	1	
3161-3785		gone	1	1	
3161-4082		gone	1	1	
3161-4184		gone	1	1	
4026-53897		gone	1	1	
4026-56337		gone	1	1	
4141-59573		gone	1	1	
4341-23128		gone	1	1	
4414-84461		gone	1	1	
4423-102582		gone	1	1	
4423-104542		gone	1	1	
4423-106436		gone	1	1	
4423-90854		gone	1	1	
4423-91869		gone	1	1	
4423-94942		gone	1	1	
4437-116944		gone	1	1	
5965-54827		gone	1	1	
6001-56374		gone	1	1	
6244-46760		gone	1	1	
6244-77476		gone	1	1	
6244-92568		gone	1	1	
7528-156353		gone	1	1	
7528-159211		gone	1	1	
7532-161713		gone	1	1	
7816-50391		gone	1	1	
7816-50723		gone	1	1	
7838-54566		gone	1	1	
7909-47219		gone	1	1	
8050-140510		gone	1	1	
8092-153942		gone	1	1	
8092-154055		gone	1	1	
8110-175712		gone	1	1	
8200-50476		gone	1	1	
8489-65908		gone	1	1	
8489-65970		gone	1	1	
8489-68524		gone	1	1	
8489-68562		gone	1	1	
8493-107515		gone	1	1	
8493-33199		gone	1	1	
8493-34777		gone	1	1	
8493-34859		gone	1	1	
8493-43360		gone	1	1	
8493-43383		gone	1	1	
9225-85196		gone	1	1	
9695-96107		gone	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-117339	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-117609	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-117620	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-117732	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-117914	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9178-8257	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9178-9690	9003-117337	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-130681	9003-130613	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-130717	9003-130613	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-130774	9003-130613	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-131096	9003-130613	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-94118	9003-94116	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-94120	9003-94116	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-94795	9003-94116	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-94920	9003-94116	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-95028	9003-94116	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9142-19613	9003-94116	child	1	1	
M6r9FEn042UWTQD1zvy6GM:9003-43519	9003-43516	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4053	2713-4052	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4363	2713-4362	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4369	2713-4362	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4541	2713-4425	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4556	2713-4425	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4563	2713-4425	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2713-4828	2713-4800	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2752-5211	2752-4678	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2760-12291	2760-12240	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2764-14163	2764-13970	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2770-16333	2770-16271	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2773-7536	2773-7535	child	1	1	
mhF3BkzlTaGiLzJ7kvpmVc:2853-9727	2853-9675	child	1	1	
